"","a12-17","18-24","25-44","45-64","65p","18-99","a12-17m","18-24m","25-44m","45-64m","65pm","18-99m","a12-17f","18-24f","25-44f","45-64f","65pf","18-99f"
"RI",0,0.167744029589644,0.252395150602201,0.198033353092082,0.0871712937217,0.186538888903974,0,0.244699539962014,0.3045288644393,0.218416430183862,0.0776412997672763,0.222908851488658,0,0.0945482584308707,0.199277052928414,0.178699629364046,0.0943631671563843,0.153124583423133
"SC",0,0.24123081595566,0.290332432911083,0.249472567193596,0.100215279034855,0.228413856075579,0,0.295868175945083,0.325336899135967,0.276082136453751,0.123777856535467,0.263958332349234,0,0.184053893827004,0.255580102278746,0.225309305090346,0.081553326134985,0.195707284710242
"SD",0,0.27437397222813,0.324118894887212,0.221336393357823,0.108792045360445,0.237070757122945,0,0.267936956738807,0.326299941127597,0.238876951375611,0.102180276850947,0.244923229279498,0,0.281305490020285,0.321810179766886,0.203794153386089,0.114237041339828,0.229332703368482
"TN",0,0.2378913090686,0.281678667163174,0.284209677516646,0.148389581260988,0.249421143537932,0,0.245655687929178,0.31661459608957,0.293123937954376,0.148586386701431,0.267296302010264,0,0.229894568102784,0.24857042677308,0.275935162674682,0.14823546240535,0.233048132115913
"TX",0,0.202264096081357,0.223816104500639,0.196558840672268,0.0790700974393064,0.186930666486164,0,0.242132005615647,0.279605040492561,0.216235594222458,0.0995713300173915,0.225323976356441,0,0.161958543424725,0.167955056610293,0.177490640719993,0.0626442984977306,0.150218424651651
"UT",0,0.0977873179057928,0.141955545830686,0.111024289228161,0.0617868756499154,0.1134199897825,0,0.133119540181754,0.177876987207966,0.128406370514941,0.0711018226414115,0.140197483694081,0,0.0607596200996716,0.105989701767134,0.0938227305012549,0.0538516025433771,0.0870391253342104
"VT",0,0.210875917938815,0.245375281660807,0.187009732363588,0.101242537923984,0.186418101343695,0,0.255692956616382,0.268353583679346,0.207554681948435,0.117666464219436,0.212477525474158,0,0.163887440763817,0.22192734068492,0.167062814004086,0.0874642789031325,0.161391605980735
"VA",0,0.238451914713445,0.248388025067778,0.198277557768444,0.102093481640562,0.201496112364888,0,0.271693651084663,0.283950154919603,0.215761943609256,0.115319927715787,0.230152405727894,0,0.203340627538505,0.211706775222168,0.181715254623074,0.0918151606112168,0.174309120266299
"WA",0,0.187168175235921,0.217629732916215,0.20222016413088,0.0932130881306214,0.183330657969965,0,0.202421990154779,0.24880399593864,0.224822513383348,0.108034001557885,0.207844823920754,0,0.171074978275161,0.185366429142196,0.180161321780679,0.0807601675277022,0.159398214774552
"WV",0,0.295523951144313,0.398721867827744,0.309401338379152,0.113628838925022,0.287642317477188,0,0.299274204657662,0.389682551897391,0.316085930055179,0.115185371466425,0.292861077898772,0,0.291497455903183,0.407808991748602,0.302804684070407,0.112366088047121,0.282662985477458
"WI",0,0.249218615116502,0.260865693506751,0.229200955528838,0.0975523164645563,0.214790149890591,0,0.286554995337376,0.324620862467313,0.242031633587798,0.109661423523663,0.248776563745893,0,0.209739824931047,0.195539990393095,0.216241293772502,0.0875728578328745,0.181715994708532
"WY",0,0.181189250002717,0.332070944618046,0.222034852772914,0.112129340170045,0.231819159074288,0,0.166807311978275,0.38283719808331,0.233110209543842,0.113837859189849,0.253068812655322,0,0.196893660298687,0.277389286410189,0.210438172970615,0.110611063524383,0.210015172404333
