"","18-99","18-24","25-44","45-64","65p","18-99m","18-24m","25-44m","45-64m","65pm","18-99f","18-24f","25-44f","45-64f","65pf"
"MN",0.151111117947234,0.140103004292992,0.198719231546346,0.150597091118406,0.0829201548311733,0.168275302435551,0.153849429719189,0.228564000089719,0.158256213529696,0.0880942789918408,0.134635697512911,0.126660515175823,0.168064504354098,0.143226425688802,0.0787196751186362
"MS",0.205350743894519,0.108264021275105,0.252063655572063,0.257359958068777,0.110548601122684,0.231703108565309,0.138905148944312,0.264676451347005,0.290765796328819,0.136746648541147,0.181457942224076,0.0786801227361875,0.239799328739627,0.22664233133753,0.0903891411934071
"MO",0.194138344327674,0.186443038452111,0.246192459407153,0.20955139263869,0.0982128772731425,0.205415836665514,0.18046595518225,0.264316931399546,0.214657337673965,0.107466283062453,0.184160541765374,0.19597957242582,0.228098827457682,0.205546073234475,0.0910179586983787
"MT",0.179860224198677,0.139241641249836,0.239574667037792,0.197537813130101,0.100218911002555,0.187198531318455,0.115454836130218,0.260621268573455,0.200211473332643,0.107395030224534,0.172626903656546,0.165829454751462,0.217593120632861,0.194908010152787,0.0937276156839116
"NE",0.159706924253957,0.127920225636328,0.207047215419983,0.17726468494171,0.0784453499171034,0.175373760908555,0.140922700173082,0.224635077016875,0.185597257790088,0.094450642958326,0.144517175712443,0.114264465198688,0.188687843328287,0.169328526307552,0.0655132850598712
"NV",0.156981285509982,0.123020559930457,0.19472027612369,0.158336739362117,0.110282660154819,0.173173621862412,0.171220233917452,0.215459359999676,0.165856092469603,0.109998873685445,0.140108604357311,0.0654917586675115,0.173050213136377,0.150494282370263,0.110532422192991
"NH",0.156166341064308,0.113225068039663,0.231602380443977,0.153561148322112,0.0752719748034867,0.160430413044114,0.105081214504552,0.238358283615274,0.157579541712883,0.0886013883428212,0.153011516600036,0.132334226687179,0.226342791650446,0.149987080728481,0.0648479177740943
"NJ",0.130588543412603,0.0393290194409361,0.176097337164619,0.152051366538036,0.0774879942315706,0.145242235613551,0.0576393120333679,0.217948056590283,0.145828706473277,0.0736961513627381,0.117040001339114,0.0198903646063801,0.134345910000725,0.157855931056961,0.0803362866782747
"NM",0.151929156044171,0.11993633180193,0.171268067000057,0.186104447195411,0.094383290191166,0.172796563800245,0.141885070620992,0.215944951518362,0.186041440797684,0.102817925143714,0.131933164391862,0.0964457451282267,0.125171163215468,0.185952300441991,0.0870705877853774
"NY",0.128168134322652,0.0863581913194808,0.160287293012264,0.141194582418833,0.0787520236922516,0.149814839289081,0.116005748836483,0.192098211023423,0.152481044157123,0.0885816812157345,0.109485564370062,0.0558750692984899,0.131493434623722,0.131082807003806,0.0720091116273474
"NC",0.174285918659659,0.129554203987358,0.214889463118111,0.187835151347436,0.116881918527929,0.20273410418917,0.174135960559268,0.262159536578267,0.197663645281788,0.130424009202261,0.149067646778709,0.0841174160602465,0.170740387986564,0.179120991873907,0.106572815877197
