13,
* 
* OCD parameters for SHG v6.2.x
* 
* 
* Data for All Race Male and All Races Female 
* Probabilities of dying from condition other than lung cancer by race, sex, year of birth, age and smoking status/intensity
* 
* The first line following these comments contains the following values:
* Number of Race Values,Number of Sex Values,Min Year of Birth,Max Year of Birth,Min Age,Max Age
* The subsequent statistics in this file are comma-delimited as follows:
* Race,Sex,Year of Birth,Age,Never Smokers Prob of Dying,Current Smokers in Group 1 Prob of Dying,Current Smokers in Group 2 Prob of Dying,Current Smokers in Group 3 Prob of Dying,Current Smokers in Group 4 Prob of Dying,Current Smokers in Group 5 Prob of Dying,Current Smokers in Group 6 Prob of Dying
0,0,1891,74,0.0462149118,0.0588003434,0.0755933693,0.0978529861,0.0988849214,0.1018889673,0.0837482949
0,0,1891,75,0.0490495092,0.0632324512,0.0808873666,0.1041685981,0.1052364049,0.1083377233,0.0875699638
0,0,1891,76,0.0536035652,0.0697474941,0.0887731937,0.1137248689,0.1148561805,0.1181336915,0.0938280675
0,0,1891,77,0.0577335774,0.0758200414,0.0960119048,0.1223393831,0.1235183144,0.1269243894,0.0989733711
0,0,1891,78,0.0628477123,0.0833857563,0.1050498899,0.1331229201,0.1336303356,0.1363490393,0.1055032436
0,0,1891,79,0.0667547574,0.089444124,0.1120966334,0.1412578218,0.1409503374,0.1427578205,0.1095568673
0,0,1891,80,0.0744910155,0.1007432274,0.125593606,0.1573602312,0.156048541,0.1568277396,0.1193033708
0,0,1891,81,0.080073698,0.1092391041,0.1354609505,0.1687298707,0.1662542261,0.1657280034,0.1248980711
0,0,1891,82,0.0851616346,0.1171162195,0.1444475754,0.178846053,0.1750554973,0.1730120796,0.1290857628
0,0,1891,83,0.0950299954,0.1340934298,0.1644865243,0.202408801,0.1967594282,0.1927154271,0.142246194
0,0,1891,84,0.1019348379,0.1474813384,0.1799125137,0.2200021297,0.2123395465,0.2060053934,0.1503032363
0,0,1891,85,0.1120066637,0.1660543406,0.2014407515,0.2447447704,0.2344751646,0.2252058749,0.1622689939
0,0,1891,86,0.1200788995,0.182312684,0.2199163663,0.2654335848,0.2523441905,0.2398056737,0.1704636935
0,0,1891,87,0.1292795521,0.1988610331,0.2385086412,0.2859326398,0.2696635122,0.2533943845,0.1774915885
0,0,1891,88,0.1445422984,0.2235840845,0.2681608124,0.321480717,0.3031889584,0.2848971998,0.199557921
0,0,1891,89,0.150923648,0.2347673448,0.2815737178,0.337560585,0.3183539066,0.2991472282,0.2095394373
0,0,1891,90,0.1619010347,0.2532602066,0.303753565,0.3641505745,0.3434309665,0.3227113587,0.2260450712
0,0,1891,91,0.1729835452,0.2721170095,0.3263699136,0.3912638573,0.3690015453,0.3467392333,0.2428755374
0,0,1891,92,0.1876090337,0.296776201,0.3559454929,0.4267201135,0.402440395,0.3781606765,0.2648848723
0,0,1891,93,0.2080816328,0.3309929294,0.3969841281,0.4759186886,0.4488396468,0.421760605,0.2954246989
0,0,1891,94,0.2258099334,0.3611747332,0.4331833819,0.5193156412,0.4897673795,0.4602191179,0.3223631907
0,0,1891,95,0.2442835631,0.3928549867,0.4711798366,0.5648671422,0.5327270701,0.500586998,0.35063911
0,0,1891,96,0.2437713953,0.3941428737,0.472724494,0.5667189324,0.5344734963,0.5022280602,0.3517886017
0,0,1891,97,0.2588238613,0.4206999283,0.5045763199,0.6049040339,0.5704859242,0.5360678146,0.3754918569
0,0,1891,98,0.2736365532,0.4470942008,0.5362329093,0.6428550789,0.6062776131,0.5697001473,0.3990498224
0,0,1891,99,0.2880570838,0.4730592224,0.5673746666,0.6801889248,0.6414872206,0.6027855164,0.4222246639
0,0,1892,0,0.14596,0.14596,0.14596,0.14596,0.14596,0.14596,0.14596
0,0,1892,1,0.03282,0.03282,0.03282,0.03282,0.03282,0.03282,0.03282
0,0,1892,2,0.01634,0.01634,0.01634,0.01634,0.01634,0.01634,0.01634
0,0,1892,3,0.0105198012,0.0105198012,0.0105198012,0.0105198012,0.0105198012,0.0105198012,0.0105198012
0,0,1892,4,0.0087496019,0.0087496019,0.0087496019,0.0087496019,0.0087496019,0.0087496019,0.0087496019
0,0,1892,5,0.0062794021,0.0062794021,0.0062794021,0.0062794021,0.0062794021,0.0062794021,0.0062794021
0,0,1892,6,0.0046192021,0.0046192021,0.0046192021,0.0046192021,0.0046192021,0.0046192021,0.0046192021
0,0,1892,7,0.003259002,0.003259002,0.003259002,0.003259002,0.003259002,0.003259002,0.003259002
0,0,1892,8,0.0025590016,0.0025590016,0.0025590016,0.0025590016,0.0025590016,0.0025590016,0.0025590016
0,0,1892,9,0.0020290013,0.0020290013,0.0020290013,0.0020290013,0.0020290013,0.0020290013,0.0020290013
0,0,1892,10,0.0021090014,0.0021090014,0.0021090014,0.0021090014,0.0021090014,0.0021090014,0.0021090014
0,0,1892,11,0.0021590014,0.0021590014,0.0021590014,0.0021590014,0.0021590014,0.0021590014,0.0021590014
0,0,1892,12,0.0021190014,0.0021190014,0.0021190014,0.0021190014,0.0021190014,0.0021190014,0.0021190014
0,0,1892,13,0.0023888019,0.0023888019,0.0023888019,0.0023888019,0.0023888019,0.0023888019,0.0023888019
0,0,1892,14,0.0025386024,0.0025386024,0.0025386024,0.0025386024,0.0025386024,0.0025386024,0.0025386024
0,0,1892,15,0.002668403,0.002668403,0.002668403,0.002668403,0.002668403,0.002668403,0.002668403
0,0,1892,16,0.003198204,0.003198204,0.003198204,0.003198204,0.003198204,0.003198204,0.003198204
0,0,1892,17,0.0037780052,0.0037780052,0.0037780052,0.0037780052,0.0037780052,0.0037780052,0.0037780052
0,0,1892,18,0.0091280107,0.0091280107,0.0091280107,0.0091280107,0.0091280107,0.0091280107,0.0091280107
0,0,1892,19,0.005308007,0.005308007,0.005308007,0.005308007,0.005308007,0.005308007,0.005308007
0,0,1892,20,0.0050680069,0.0050680069,0.0050680069,0.0050680069,0.0050680069,0.0050680069,0.0050680069
0,0,1892,21,0.0043680063,0.0043680063,0.0043680063,0.0043680063,0.0043680063,0.0043680063,0.0043680063
0,0,1892,22,0.0044880065,0.0044880065,0.0044880065,0.0044880065,0.0044880065,0.0044880065,0.0044880065
0,0,1892,23,0.0047176081,0.0047176081,0.0047176081,0.0047176081,0.0047176081,0.0047176081,0.0047176081
