birthyear,age,p_berkeley,q_nlung,final
1867,15,0.00267,0.002668403,0.00267
1867,16,0.0032,0.003198204,0.0032
1867,17,0.00378,0.0037780052,0.00378
1867,18,0.00913,0.0091280108,0.00913
1867,19,0.00531,0.005308007,0.00531
1867,20,0.00507,0.0050680069,0.00507
1867,21,0.00437,0.0043680063,0.00437
1867,22,0.00449,0.0044880065,0.00449
1867,23,0.00472,0.0047176081,0.00472
1867,24,0.00456,0.0045572092,0.00456
1867,25,0.00462,0.0046168106,0.00462
1867,26,0.00467,0.0046664119,0.00467
1867,27,0.00457,0.004566013,0.00457
1867,28,0.00494,0.0049332238,0.00494
1867,29,0.00504,0.0050304339,0.00504
1867,30,0.00491,0.0048976433,0.00491
1867,31,0.00496,0.0049448544,0.00496
1867,32,0.00472,0.0047020639,0.00472
1867,33,0.004922,0.0048994834,0.004922
1867,34,0.005239,0.0052119066,0.005239
1867,35,0.005588,0.0055563334,0.005588
1867,36,0.005908,0.0058717619,0.005908
1867,37,0.00618,0.0061391931,0.00618
1867,38,0.006428,0.0063746668,0.006428
1867,39,0.006673,0.00660715,0.006673
1867,40,0.006945,0.0068666457,0.0040787357
1867,41,0.007307,0.0072161508,0.0042620659
1867,42,0.007791,0.0076876742,0.004514217
1867,43,0.00837,0.0082383293,0.004849332
1867,44,0.009015,0.0088550218,0.0052230498
1867,45,0.00972,0.0095317512,0.005631979
1867,46,0.010463,0.0102465405,0.0060634734
1867,47,0.011236,0.0109913721,0.0065130047
1867,48,0.012063,0.0117758075,0.0070235117
1867,49,0.012972,0.0126423983,0.0075870505
1867,50,0.013949,0.013577025,0.008196192
1867,51,0.01491,0.0144957488,0.008802034
1867,52,0.015823,0.0153665983,0.0093855678
1867,53,0.016688,0.0161785417,0.0100159246
1867,54,0.017508,0.0169455572,0.0106330433
1867,55,0.018342,0.0177266914,0.0112723933
1867,56,0.019425,0.0187570898,0.0120805999
1867,57,0.020855,0.020134741,0.0131250656
1867,58,0.022651,0.0218862237,0.014432273
1867,59,0.02485,0.0240411302,0.016030747
1867,60,0.027393,0.0265407089,0.0178924958
1867,61,0.029892,0.0289962644,0.0197703699
1867,62,0.032202,0.0312629014,0.0215673241
1867,63,0.034355,0.0334157174,0.0232984194
1867,64,0.036368,0.0354286524,0.0249767985
1867,65,0.03837,0.0374305242,0.0266898293
1867,66,0.040889,0.0399495992,0.0288103002
1867,67,0.045246,0.0443075726,0.0322961366
1867,68,0.050809,0.0498750297,0.0367425139
1867,69,0.054949,0.0540185393,0.0402584475
1867,70,0.056634,0.0557062163,0.0420370638
1867,71,0.060321,0.059397094,0.0453569295
1867,72,0.067211,0.0662931601,0.051187869
1867,73,0.072774,0.0718797278,0.056291349
1867,74,0.075391,0.0745192891,0.0592261111
1867,75,0.082455,0.0816074018,0.0657817134
1867,76,0.089766,0.0889432016,0.07291705
1867,77,0.095147,0.0943480908,0.0786540492
1867,78,0.100215,0.0994503028,0.0842604175
1867,79,0.106032,0.1053019003,0.0906210033
1867,80,0.115301,0.1146058568,0.1001028116
1867,81,0.124,0.1233406721,0.1092860865
1867,82,0.135854,0.1352318986,0.1214638851
1867,83,0.148983,0.148377594,0.1337321836
1867,84,0.160272,0.1596796254,0.1444160385
1867,85,0.170281,0.1696245252,0.1539972257
1867,86,0.186331,0.1856330405,0.1691020038
1867,87,0.196197,0.1954748183,0.1786364926
1867,88,0.209847,0.2091128683,0.1916471839
1867,89,0.234397,0.2336409568,0.2146795283
1867,90,0.25766,0.2569222797,0.2366191893
1867,91,0.263496,0.2627762734,0.2425908302
1867,92,0.283554,0.2827335667,0.2616816714
1867,93,0.29763,0.2968659901,0.2752943024
1867,94,0.336923,0.3360745882,0.3123096379
1867,95,0.360311,0.359539937,0.3348979187
1867,96,0.372949,0.3721242932,0.3475651164
1867,97,0.363045,0.3622614277,0.3392112502
1867,98,0.38016,0.3793004126,0.3560986494
1867,99,0.369536,0.3686653836,0.3469970853
1868,0,0.14596,0.14596,0.14596
1868,1,0.03282,0.03282,0.03282
1868,2,0.01634,0.01634,0.01634
1868,3,0.01052,0.0105198012,0.01052
1868,4,0.00875,0.0087496019,0.00875
1868,5,0.00628,0.0062794021,0.00628
1868,6,0.00462,0.0046192022,0.00462
1868,7,0.00326,0.003259002,0.00326
1868,8,0.00256,0.0025590016,0.00256
1868,9,0.00203,0.0020290013,0.00203
1868,10,0.00211,0.0021090014,0.00211
1868,11,0.00216,0.0021590014,0.00216
1868,12,0.00212,0.0021190014,0.00212
1868,13,0.00239,0.0023888019,0.00239
1868,14,0.00254,0.0025386024,0.00254
1868,15,0.00267,0.002668403,0.00267
