"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_34",1934334,1968327,2021796,2089880,2165138,2138728,2167390,2173763,2149074,2222322,2214009,2218955,2271580,2338403,2447187,2467228,2436486,2394718,2386473,2364576,2340125,2344062,2350135,2360646,2403590,2385744,2347656,2364622,2387122,2390125,2403943,2429490,2430088,2377333,2384640,2390129,2386427,2388607,2406817,2423969,2440805,2457270,2472846,2487470,2500543,2511513,2520611,2528344,2535127,2541179,2546503
"pop_35",1962017,1943412,1977645,2031329,2041384,2172692,2146470,2175228,2181661,2157124,2230370,2222185,2227243,2279932,2346842,2455676,2475838,2445222,2403607,2395443,2373663,2349327,2353340,2359504,2370092,2413099,2395368,2357407,2374443,2397038,2400112,2414009,2439613,2440280,2387628,2394991,2400536,2396891,2399122,2417386,2434588,2451468,2467971,2483594,2498256,2511364,2522376,2531507,2539266,2546081,2552164
"pop_36",1926873,1970060,1951729,1986175,2004078,2048571,2179802,2153754,2182610,2189098,2164701,2237925,2229905,2235076,2287831,2354817,2463709,2483970,2453476,2412005,2403913,2382254,2358013,2362106,2368345,2379008,2422090,2404466,2366639,2383743,2406419,2409560,2423531,2449194,2449928,2397369,2404785,2410373,2406796,2409075,2427394,2444643,2461567,2478099,2493758,2508457,2521604,2532645,2541805,2549597,2556444
"pop_37",1968378,1934182,1977571,1959496,1989912,2010825,2055429,2186556,2160684,2189624,2196181,2171908,2245158,2237293,2242577,2295381,2362444,2471371,2491736,2461367,2420041,2412013,2390467,2366316,2370490,2376819,2387555,2430715,2413186,2375481,2392657,2415419,2418632,2432671,2458384,2459173,2406717,2414184,2419821,2416305,2418627,2437008,2454298,2471255,2487814,2503508,2518247,2531420,2542496,2551679,2559500
"pop_38",2052768,1974909,1940984,1984558,1931202,1996337,2017276,2061990,2193001,2167305,2196315,2202915,2178804,2252099,2244366,2249761,2302627,2369764,2478718,2499182,2468931,2427751,2419792,2398349,2374307,2378549,2384963,2395790,2439009,2421571,2383999,2401240,2424096,2427371,2441479,2467248,2468094,2415732,2423241,2428932,2425472,2427840,2446275,2463605,2480590,2497182,2512910,2527674,2540882,2551979,2561195
"pop_39",2165875,2058451,1980908,1947242,1988757,1937186,2002369,2023332,2068139,2199040,2173512,2202546,2209242,2185295,2258639,2251035,2256539,2309458,2376642,2485631,2506185,2476060,2435022,2427126,2405805,2381856,2386181,2392688,2403580,2446860,2429518,2392080,2409385,2432313,2435650,2449842,2475648,2476556,2424288,2431835,2437571,2434164,2436580,2455061,2472429,2489447,2506078,2521824,2536621,2549861,2560984
"pop_40",2193702,2170740,2063676,1986444,1935588,1993933,1942569,2007785,2028775,2073646,2204441,2179050,2208137,2214940,2191163,2264537,2257063,2262667,2315615,2382855,2491863,2512501,2482494,2441602,2433769,2412555,2388706,2393118,2399702,2410682,2454007,2436764,2399450,2416832,2439827,2443229,2457490,2483334,2484285,2432122,2439711,2445499,2442132,2444593,2463116,2480520,2497559,2514225,2530007,2544828,2558095
"pop_41",2093028,2197858,2175134,2068431,1972415,1939964,1998324,1947159,2012399,2033409,2078337,2208978,2183772,2212920,2219835,2196214,2269606,2262248,2267957,2320928,2388210,2497216,2517936,2488049,2447306,2439529,2418432,2394683,2399169,2405831,2416882,2460269,2443109,2405931,2423373,2446423,2449892,2464219,2490099,2491091,2439032,2446664,2452495,2449174,2451676,2470243,2487674,2504742,2521434,2537242,2552089
"pop_42",2047595,2096679,2201549,2179059,2059589,1975798,1943549,2001903,1950932,2016186,2037223,2082131,2212677,2187660,2216872,2223881,2200404,2273819,2266583,2272378,2325375,2392692,2501685,2522478,2492716,2452107,2444397,2423429,2399768,2404330,2411054,2422180,2465607,2448546,2411479,2428994,2452104,2455630,2470007,2495927,2496973,2445010,2452673,2458538,2455274,2457806,2476413,2493871,2510960,2527691,2543518
"pop_43",2054605,2050724,2099932,2204825,2179934,2062103,1978489,1946433,2004770,1954000,2019257,2040235,2085218,2215665,2190814,2220083,2227177,2203867,2277278,2270159,2276047,2329070,2396403,2505375,2526243,2496605,2456140,2448492,2427641,2404082,2408708,2415510,2426695,2470169,2453192,2416249,2433817,2456993,2460563,2475003,2500952,2502050,2450186,2457886,2463791,2460564,2463136,2481776,2499253,2516389,2533144
"pop_44",2111232,2057122,2053455,2102778,2199462,2181594,2064066,1980630,1948763,2007079,1956508,2021680,2042701,2087766,2218081,2193401,2222728,2229913,2206756,2280164,2273149,2279137,2332167,2399517,2508467,2529409,2499901,2459585,2451999,2431269,2407810,2412503,2419376,2430630,2474131,2457250,2420441,2438059,2461283,2464915,2479408,2505387,2506532,2454771,2462506,2468447,2465267,2467878,2486545,2504057,2521222
"pop_45",2244575,2112995,2059202,2055741,2089714,2200447,2182752,2065549,1982286,1950618,2008911,1958454,2023634,2044707,2089830,2220007,2195510,2224879,2232160,2209153,2282551,2275661,2281740,2334781,2402143,2511062,2532089,2502696,2462539,2455028,2434416,2411054,2415825,2422763,2434086,2477616,2460829,2424155,2441831,2465111,2468794,2483347,2509358,2510535,2458882,2466669,2472630,2469505,2472147,2490855,2508391
"pop_46",2287839,2245311,2114214,2060741,2049025,2090378,2200967,2183428,2066569,1983497,1952043,2010220,1959982,2025153,2046272,2091462,2221486,2197173,2226588,2233952,2211106,2284498,2277727,2283899,2336942,2404311,2513201,2534308,2505051,2465047,2457606,2437121,2413872,2418711,2425725,2437109,2480669,2463976,2427446,2445180,2468517,2472246,2486859,2512881,2514121,2462578,2470402,2476400,2473317,2475996,2494743
"pop_47",2286371,2287747,2245510,2114908,2058376,2049083,2090513,2200930,2183564,2067068,1984201,1952879,2011040,1961039,2026192,2047360,2092605,2222459,2198341,2227807,2235258,2212584,2285954,2279305,2285569,2338606,2405990,2514836,2536027,2506907,2467072,2459704,2439350,2416205,2421135,2428214,2439671,2483249,2466663,2430288,2448066,2471461,2475242,2489898,2515952,2517244,2465814,2473683,2479722,2476687,2479407
"pop_48",2293729,2285662,2287231,2245284,2096457,2057900,2048637,2090126,2200375,2183183,2067063,1984328,1953249,2011397,1961638,2026765,2047992,2093287,2222974,2199049,2228554,2236108,2213603,2286959,2280421,2286775,2339825,2407214,2515994,2537265,2508290,2468641,2461346,2441132,2418105,2423107,2430274,2441786,2485390,2468915,2432689,2450508,2473965,2477799,2492508,2518590,2519934,2468624,2476540,2482613,2479638
"pop_49",2317769,2292318,2284477,2286242,2225392,2095234,2056926,2047712,2089267,2199326,2182324,2066511,1984027,1953192,2011330,1961821,2026935,2048206,2093545,2223039,2199322,2228865,2236530,2214209,2287535,2281113,2287572,2340622,2408012,2516719,2538081,2509263,2469790,2462575,2442502,2419607,2424686,2431928,2443509,2487139,2470772,2434700,2452579,2476093,2479981,2494745,2520848,2522245,2471065,2479017,2485137
"pop_50",2347393,2315590,2290416,2282803,2276447,2223075,2093491,2055460,2046285,2087913,2197770,2180876,2065494,1983301,1952696,2010805,1961570,2026654,2047981,2093371,2222659,2199151,2228734,2236505,2214368,2287660,2281380,2287946,2340996,2408382,2517010,2538463,2509792,2470514,2463388,2443471,2420695,2425859,2433186,2444842,2488482,2472231,2436320,2454259,2477826,2481779,2496595,2522721,2524182,2473139,2481132
"pop_51",2272753,2344478,2313000,2288110,2280045,2273290,2220229,2091224,2053492,2044365,2086060,2195611,2178941,2064005,1982124,1951754,2009846,1960881,2025933,2047318,2092737,2221818,2198521,2228146,2236024,2214075,2287343,2281200,2287882,2340933,2408308,2516862,2538382,2509892,2470801,2463766,2444008,2421365,2426602,2434020,2445748,2489411,2473277,2437529,2455512,2479150,2483172,2498037,2524191,2525728,2474807
"pop_52",2267725,2269480,2341183,2310040,2279410,2276152,2269606,2216872,2088479,2051026,2041966,2083648,2192981,2176531,2062072,1980511,1950401,2008462,1959784,2024789,2046238,2091698,2220544,2197460,2227128,2235117,2213363,2286610,2280608,2287391,2340439,2407818,2516274,2537884,2509569,2470680,2463744,2444142,2421629,2426959,2434455,2446254,2489950,2473937,2438350,2456392,2480096,2484179,2499099,2525277,2526880
"pop_53",2225577,2263862,2265838,2337511,2313739,2274964,2271820,2265513,2213114,2085355,2048199,2039142,2080891,2189993,2173760,2059805,1978587,1948736,2006765,1958386,2023338,2044854,2090348,2218947,2196085,2225804,2233912,2212364,2285563,2279713,2286601,2339651,2407018,2515375,2537078,2508942,2470260,2463426,2443982,2421618,2427042,2434616,2446496,2490214,2474318,2438908,2457011,2480785,2484931,2499910,2526111
"pop_54",2168555,2221189,2259567,2261775,2329740,2308564,2270136,2267125,2261049,2209000,2081903,2044972,2036006,2077835,2186695,2170694,2057255,1976402,1946823,2004808,1956737,2021631,2043200,2088733,2217068,2194447,2224214,2232453,2211116,2284281,2278568,2285572,2338616,2405958,2514217,2536009,2508062,2469599,2462868,2443594,2421375,2426887,2434558,2446505,2490251,2474476,2439258,2457429,2481265,2485481,2500517
"pop_55",2157222,2163607,2216272,2254746,2261793,2323742,2302936,2264873,2262018,2256166,2204480,2077972,2041376,2032530,2074432,2183017,2167265,2054362,1973893,1944593,2002526,1954780,2019611,2041233,2086801,2214839,2192486,2222314,2230675,2209560,2282674,2277117,2284233,2337260,2404588,2512718,2534603,2506855,2468619,2462013,2442909,2420848,2426458,2434203,2446233,2490002,2474367,2439337,2457571,2481472,2485757
"pop_56",2071060,2151445,2158070,2210759,2253669,2255439,2317282,2296847,2259149,2256464,2250839,2199419,2073641,2037387,2028671,2070647,2178950,2163440,2051102,1971030,1942007,1999895,1952479,2017241,2038921,2084500,2212255,2190160,2220055,2228546,2207657,2280716,2275331,2282553,2335561,2402849,2510858,2532820,2505280,2467289,2460808,2441878,2419984,2425690,2433526,2445641,2489437,2473940,2439108,2457401,2481368
"pop_57",2011863,2064695,2144936,2151812,2236541,2246651,2248600,2310345,2290279,2252959,2250455,2244943,2193931,2068915,2032994,2024425,2066460,2174465,2159210,2047450,1967805,1939083,1996894,1949827,2014515,2036237,2081846,2209289,2187472,2217428,2226053,2205407,2278402,2273195,2280526,2333520,2400767,2508622,2530681,2503337,2465594,2459243,2440500,2418770,2424583,2432512,2444723,2488539,2473194,2438555,2456923
"pop_58",1946841,2004668,2057479,2137549,2163714,2228897,2239197,2241340,2302963,2283281,2246344,2243915,2238645,2188044,2063817,2028261,2019846,2061932,2169619,2154625,2043476,1964275,1935848,1993595,1946888,2011482,2033271,2078905,2206031,2184492,2214503,2223264,2202859,2275794,2270765,2278226,2331199,2398395,2506094,2528238,2501121,2463619,2457401,2438850,2417307,2423232,2431244,2443556,2487390,2472197,2437771
"pop_59",1879778,1938851,1996615,2049388,2148502,2155767,2220805,2231299,2233647,2295147,2275849,2239196,2236964,2231950,2181777,2058378,2023202,2014940,2057078,2164439,2149701,2039210,1960458,1932340,1990016,1943677,2008197,2030047,2075707,2202507,2181249,2211321,2220217,2200076,2272942,2268085,2275678,2328614,2395761,2503295,2525531,2498630,2461394,2455318,2436965,2415617,2421648,2429767,2442176,2486011,2470989
"pop_60",1872396,1871008,1929992,1987673,2071851,2139811,2147302,2212197,2222880,2225435,2286808,2267802,2231576,2229559,2224810,2175078,2052547,2017770,2009666,2051855,2158863,2144411,2034598,1956321,1928533,1986125,1940188,2004620,2026542,2072217,2198665,2177711,2207845,2216897,2197021,2269806,2265133,2272857,2325763,2392848,2500199,2522529,2495857,2458896,2452963,2434823,2413677,2419825,2428041,2440542,2484411
