"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_63",9809106,9856356,9770882,10114152,10254698,10509098,10831888,11180472,11619396,11648618,12034484,12130562,12160872,12567548,12395926,12232030,12228188,12237636,12044708,11377476,11172060,11192920,11460242,12105778,11936702,11333872,10871580,10795752,11207666,10930080,11292658,11488608,11790344,12635122,12454246,12684422,12779180,12735524,13258618,13326008,13415350,13757136,14215316,14873764,15075302,15054506,14917298,14863412,14749852,14616324,14620182
"pop_64",8023710,9673706,9721896,9639394,10003928,10131596,10385304,10705700,11051800,11486998,11518028,11900500,11997716,12029710,12433726,12266922,12107188,12105192,12116732,11927748,11269758,11068812,11091078,11357936,11998700,11833204,11238004,10781796,10708768,11118444,10845290,11206310,11402404,11703390,12542840,12365986,12596188,12691688,12650484,13171030,13239876,13330388,13671272,14128296,14783882,14985928,14967042,14832844,14781220,14670040,14539530
"pop_65",7454832,7904410,9529812,9578972,9687324,9873030,10001636,10254494,10572212,10915604,11346694,11378880,11758604,11856918,11890600,12291650,12129882,11974286,11974142,11987722,11802854,11154482,10958120,10981816,11248102,11883610,11721994,11134816,10684944,10614690,11021866,10753436,11112738,11308800,11608892,12442646,12269814,12499970,12596176,12557438,13075288,13145540,13237212,13577130,14032668,14685154,14887542,14870660,14739542,14690244,14581796
"pop_66",7343528,7333724,7777380,9376654,9588766,9550126,9734390,9863744,10115356,10430222,10770548,11196642,11230758,11607396,11706966,11742216,12140058,11983348,11831962,11833732,11849348,11668736,11030436,10838766,10863850,11129374,11759388,11601766,11022952,10579746,10512388,10916836,10653294,11010696,11206652,11505710,12333174,12164466,12394560,12491338,12455240,12970120,13041760,13134582,13473318,13927138,14576022,14778844,14763964,14636026,14589142
"pop_67",7272642,7211926,7204148,7641414,9973012,9440640,9404602,9587174,9717056,9967076,10278962,10615316,11036850,11072896,11446286,11546874,11583758,11978112,11826564,11679510,11683192,11700768,11524596,10896856,10709930,10736452,11001158,11625186,11471654,10901704,10465542,10401172,10802572,10544130,10899408,11095172,11392974,12213498,12049172,12278996,12376400,12342982,12854610,12927614,13021538,13358896,13810678,14455694,14658800,14645918,14521352
"pop_68",6563128,7128790,7071228,7065516,7289100,9804508,9283522,9250018,9430878,9561112,9809164,10117282,10450074,10866682,10904684,11274462,11376000,11414434,11804930,11658614,11516058,11521656,11541224,11369576,10752952,10571008,10599048,10862716,11480216,11330982,10770360,10341652,10280368,10678424,10425316,10778244,10973702,11269958,12082952,11923188,12152588,12250632,12219948,12727954,12802400,12897292,13233094,13682598,14323208,14526392,14515676
"pop_69",5946496,6420536,6975298,6921002,7143160,7157700,9626138,9117006,9085976,9265044,9395400,9641106,9945794,10274680,10686044,10725966,11091824,11194214,11234190,11620450,11479554,11341546,11349052,11370692,11203672,10598736,10422060,10451646,10714068,11324498,11179784,10628990,10208164,10150046,10544504,10296956,10647222,10842256,11136732,11941398,11786408,12015254,12113928,12086114,12590010,12665768,12761678,13095630,13542542,14178340,14381472
"pop_70",885614,935432,972416,978514,1024328,1058756,1076956,1120780,1144336,1153594,1209078,1203702,1212188,1221642,1224804,1321064,1347576,1382270,1472378,1517692,1581224,1649662,1794930,2045978,1984476,2024526,2048870,2773000,2651962,2668010,2744924,2811870,2914730,3035366,3164484,3320546,3366414,3514518,3582434,3627912,3786424,3780078,3770164,3806510,3849364,3826978,3655498,3630880,3673020,3803224,4053328
"pop_71",689844,739800,782720,815022,829494,862598,892526,908896,946842,967822,976796,1024776,1021256,1029562,1038580,1042342,1125338,1149026,1179646,1257616,1297504,1353004,1412820,1538504,1755178,1703954,1740166,1762986,2388500,2286778,2303026,2371906,2432326,2523862,2631084,2745718,2884086,2926894,3058690,3120916,3163536,3305010,3302848,3297490,3332340,3373122,3356540,3209204,3190598,3230444,3348204
"pop_72",540334,566480,608656,645072,660814,686196,714444,740058,754576,786878,805284,813736,854628,852572,860482,868882,873050,943466,964324,990928,1057418,1091950,1139810,1191230,1298340,1482484,1440986,1473306,1494354,2026746,1942726,1958824,2019698,2073528,2153902,2247886,2348384,2469406,2508838,2624616,2680850,2720362,2845022,2846170,2844598,2877510,2915746,2904392,2779544,2766302,2803532
